Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Date
2392,45,Female,Backpack,Accessories,99.33,San Antonio,L,Grey,Fall,1.4,No,Store Pickup,Yes,Yes,27,PayPal,Every 3 Months,2023-06-02
1430,25,Male,Jeans,Clothing,140.07,San Jose,L,Red,Winter,4.1,No,Next Day,Yes,Yes,47,PayPal,Every 3 Months,2023-10-25
2228,46,Male,Jacket,Outerwear,229.81,Dallas,M,Red,Fall,2.8,Yes,Express,Yes,Yes,25,Apple Pay,Annually,2023-07-04
1109,48,Female,Jacket,Outerwear,38.74,Chicago,S,Yellow,Spring,4.8,Yes,Standard,No,No,41,Cash,Every 3 Months,2023-05-07
1762,19,Female,Jacket,Outerwear,58.81,Phoenix,L,Red,Spring,1.8,No,Standard,No,No,36,Cash,Every 3 Months,2023-04-26
2268,46,Female,Sunglasses,Accessories,232.16,San Antonio,L,Red,Winter,4.9,No,Store Pickup,Yes,Yes,9,Debit Card,Annually,2023-11-25
1225,57,Male,Backpack,Accessories,78.63,Dallas,M,Brown,Fall,1.7,No,Express,No,No,12,Apple Pay,Every 3 Months,2023-06-28
1199,20,Female,Scarf,Accessories,173.27,Chicago,M,Grey,Spring,3.9,Yes,Express,Yes,Yes,39,PayPal,Bi-Weekly,2023-10-20
1442,18,Female,Sunglasses,Accessories,138.01,Houston,XL,Yellow,Fall,4.2,No,Next Day,No,No,0,Credit Card,Weekly,2023-03-22
1690,56,Female,Sweater,Clothing,117.3,Dallas,S,Black,Summer,3.1,No,Standard,No,No,1,Cash,Bi-Weekly,2023-11-17
1715,52,Male,Sunglasses,Accessories,71.21,San Diego,L,Red,Fall,3.9,Yes,Next Day,No,No,3,Credit Card,Every 3 Months,2023-07-23
2410,49,Female,Belt,Accessories,225.04,Los Angeles,L,Black,Winter,4.7,Yes,Express,No,No,41,Apple Pay,Bi-Weekly,2023-07-26
1497,31,Male,Hat,Accessories,186.11,New York,S,White,Winter,3.5,No,Next Day,No,No,3,Cash,Monthly,2023-03-16
1683,58,Female,T-shirt,Clothing,219.77,Houston,S,Black,Fall,3.4,No,Next Day,No,No,22,Apple Pay,Annually,2023-09-02
2448,47,Female,Sweater,Clothing,177.8,Los Angeles,M,Grey,Spring,4.0,No,Express,No,No,8,Debit Card,Bi-Weekly,2023-11-30
1502,21,Male,Dress,Clothing,64.62,Phoenix,M,Blue,Summer,3.1,No,Store Pickup,Yes,Yes,26,Cash,Every 3 Months,2023-03-20
2272,62,Male,Sweater,Clothing,258.43,Phoenix,L,Yellow,Winter,4.3,No,Next Day,No,No,40,Cash,Weekly,2023-06-29
1530,70,Male,T-shirt,Clothing,140.39,San Antonio,L,White,Summer,1.3,No,Standard,No,No,43,Credit Card,Bi-Weekly,2023-06-30
1998,25,Female,Hat,Accessories,193.53,San Antonio,L,Yellow,Summer,2.4,Yes,Standard,No,No,27,Apple Pay,Bi-Weekly,2023-10-04
1414,68,Male,Scarf,Accessories,272.72,San Antonio,XL,Black,Spring,1.7,No,Standard,No,No,14,Cash,Annually,2023-12-21
1372,21,Male,Scarf,Accessories,299.6,San Jose,L,Brown,Spring,1.3,No,Next Day,Yes,Yes,46,Credit Card,Every 3 Months,2023-08-08
1193,53,Female,Dress,Clothing,74.86,San Diego,L,Yellow,Spring,2.1,Yes,Store Pickup,No,No,43,Credit Card,Weekly,2023-08-10
1166,49,Female,Hat,Accessories,220.63,Dallas,XL,Black,Summer,2.5,No,Express,Yes,Yes,46,Credit Card,Monthly,2023-11-25
1415,22,Male,Jeans,Clothing,25.85,Dallas,S,Yellow,Fall,1.2,No,Standard,No,No,44,PayPal,Every 3 Months,2023-08-16
1811,66,Female,Sneakers,Shoes,23.95,San Jose,S,White,Spring,3.5,Yes,Standard,No,No,41,Cash,Bi-Weekly,2023-06-23
1035,63,Male,Belt,Accessories,191.12,Los Angeles,S,Black,Spring,4.3,No,Store Pickup,No,No,37,PayPal,Monthly,2023-02-09
2215,52,Female,Shorts,Clothing,22.05,San Diego,S,White,Spring,1.8,No,Store Pickup,No,No,45,Apple Pay,Monthly,2023-06-23
2306,70,Male,T-shirt,Clothing,97.51,Phoenix,M,White,Winter,2.3,Yes,Next Day,No,No,37,PayPal,Monthly,2023-06-11
2255,40,Male,Shorts,Clothing,276.74,San Jose,M,Grey,Spring,3.3,No,Next Day,Yes,Yes,40,Apple Pay,Bi-Weekly,2023-08-27
1999,60,Female,Belt,Accessories,232.87,New York,XL,Brown,Winter,4.6,No,Standard,No,No,25,Apple Pay,Weekly,2023-11-01
1403,44,Male,Jeans,Clothing,169.36,Houston,L,Brown,Winter,4.1,No,Express,No,No,50,Debit Card,Weekly,2023-08-14
1021,57,Female,Hat,Accessories,255.62,Houston,M,Grey,Spring,4.1,No,Store Pickup,Yes,Yes,32,Apple Pay,Bi-Weekly,2023-12-21
2372,66,Female,Jeans,Clothing,243.58,Dallas,L,Grey,Winter,2.3,No,Next Day,No,No,33,Credit Card,Bi-Weekly,2023-11-26
1760,45,Female,Scarf,Accessories,129.85,San Antonio,S,Brown,Fall,2.4,Yes,Standard,Yes,Yes,32,Debit Card,Every 3 Months,2023-07-18
2006,21,Female,Belt,Accessories,182.0,Houston,M,Brown,Spring,4.4,No,Express,No,No,27,Debit Card,Monthly,2023-05-28
1597,27,Male,Hat,Accessories,175.78,Phoenix,L,Red,Winter,1.6,No,Store Pickup,No,No,48,PayPal,Monthly,2023-07-22
1849,58,Male,Jeans,Clothing,150.16,Los Angeles,XL,Black,Winter,4.8,No,Express,No,No,18,Apple Pay,Weekly,2023-06-30
1592,28,Male,Shorts,Clothing,165.89,Philadelphia,L,Yellow,Summer,1.6,No,Standard,Yes,Yes,27,Credit Card,Bi-Weekly,2023-06-27
1482,46,Female,Backpack,Accessories,248.69,San Diego,S,Green,Fall,4.9,No,Store Pickup,No,No,17,Apple Pay,Weekly,2023-09-01
1985,22,Female,Jeans,Clothing,35.49,Phoenix,S,Brown,Fall,3.4,No,Express,No,No,2,Cash,Weekly,2023-08-21
1383,70,Male,Sweater,Clothing,192.99,New York,L,White,Spring,1.8,Yes,Express,Yes,Yes,48,PayPal,Bi-Weekly,2023-01-27
2109,44,Male,Sweater,Clothing,166.35,Los Angeles,M,Grey,Winter,3.8,Yes,Next Day,Yes,Yes,22,Credit Card,Monthly,2023-02-23
1083,58,Male,Jeans,Clothing,202.46,Philadelphia,L,Brown,Summer,1.6,Yes,Standard,No,No,26,PayPal,Monthly,2023-09-04
1004,63,Male,T-shirt,Clothing,161.12,San Antonio,XL,Brown,Spring,4.8,Yes,Store Pickup,Yes,Yes,16,Cash,Annually,2023-08-20
1137,59,Female,Dress,Clothing,95.62,San Antonio,S,Blue,Fall,5.0,No,Store Pickup,No,No,21,Debit Card,Bi-Weekly,2023-04-10
2259,20,Female,Shorts,Clothing,298.62,New York,M,Grey,Winter,3.3,No,Next Day,No,No,28,Cash,Weekly,2023-12-29
1165,42,Female,Dress,Clothing,72.94,San Antonio,L,Yellow,Summer,2.3,No,Standard,No,No,43,Apple Pay,Annually,2023-09-09
1906,66,Male,Sweater,Clothing,215.66,Phoenix,L,White,Summer,3.6,No,Next Day,Yes,Yes,48,Credit Card,Bi-Weekly,2023-05-06
1665,41,Male,Belt,Accessories,25.15,Chicago,S,Red,Fall,4.6,No,Standard,No,No,24,Debit Card,Annually,2023-04-15
1206,44,Male,Sunglasses,Accessories,118.23,Los Angeles,XL,Green,Winter,1.6,No,Express,Yes,Yes,19,Cash,Every 3 Months,2023-12-30
1872,61,Female,Sneakers,Shoes,85.56,Dallas,S,White,Fall,2.7,Yes,Standard,Yes,Yes,27,Apple Pay,Annually,2023-03-15
1355,26,Male,Shorts,Clothing,130.35,San Diego,L,Grey,Winter,2.6,No,Next Day,Yes,Yes,38,Cash,Monthly,2023-02-24
2375,64,Male,Hat,Accessories,171.21,Dallas,XL,Yellow,Fall,4.9,Yes,Standard,No,No,0,Apple Pay,Every 3 Months,2023-01-20
1056,63,Female,Dress,Clothing,231.81,Philadelphia,S,Grey,Summer,2.9,Yes,Store Pickup,Yes,Yes,49,PayPal,Every 3 Months,2023-09-15
1388,34,Female,Belt,Accessories,43.42,Philadelphia,M,Yellow,Winter,1.2,No,Store Pickup,Yes,Yes,48,Credit Card,Monthly,2023-11-02
1661,54,Male,Sweater,Clothing,140.45,San Antonio,S,Green,Spring,2.6,Yes,Store Pickup,No,No,1,Credit Card,Weekly,2023-04-09
1785,60,Female,T-shirt,Clothing,30.18,Los Angeles,S,Grey,Summer,1.2,No,Standard,No,No,32,PayPal,Every 3 Months,2023-02-18
1996,56,Female,Sneakers,Shoes,276.72,Philadelphia,L,White,Winter,3.7,No,Standard,Yes,Yes,40,Apple Pay,Annually,2023-03-13
1202,41,Male,Shorts,Clothing,250.38,San Antonio,M,Brown,Fall,2.4,No,Next Day,No,No,43,PayPal,Every 3 Months,2023-11-18
2255,55,Female,Belt,Accessories,271.79,San Jose,XL,Green,Spring,1.5,No,Next Day,Yes,Yes,25,PayPal,Monthly,2023-02-07
1543,60,Female,Scarf,Accessories,112.22,Phoenix,S,Blue,Summer,4.2,No,Standard,Yes,Yes,40,Debit Card,Weekly,2023-05-17
1490,22,Male,Backpack,Accessories,108.08,Houston,XL,Green,Spring,1.5,Yes,Next Day,Yes,Yes,47,Credit Card,Annually,2023-09-15
1414,68,Female,Sunglasses,Accessories,122.9,Phoenix,XL,Yellow,Fall,3.8,No,Next Day,Yes,Yes,5,PayPal,Annually,2023-10-07
1777,48,Male,Backpack,Accessories,181.81,Houston,L,Brown,Fall,4.8,No,Next Day,No,No,49,Credit Card,Monthly,2023-09-08
1599,34,Female,T-shirt,Clothing,99.61,San Antonio,XL,Grey,Winter,4.2,No,Standard,No,No,31,Debit Card,Weekly,2023-11-20
1923,41,Female,Backpack,Accessories,299.81,Dallas,L,Grey,Fall,2.7,Yes,Next Day,Yes,Yes,27,PayPal,Every 3 Months,2023-06-01
1288,42,Female,Belt,Accessories,245.76,Dallas,S,Green,Fall,2.6,Yes,Standard,No,No,1,Debit Card,Annually,2023-01-28
2364,42,Male,Sneakers,Shoes,294.17,New York,XL,Yellow,Winter,2.4,No,Next Day,No,No,37,Apple Pay,Bi-Weekly,2023-06-25
1676,43,Female,Jacket,Outerwear,98.61,New York,M,Brown,Fall,2.3,Yes,Store Pickup,No,No,22,Cash,Weekly,2023-04-03
1627,32,Female,Sunglasses,Accessories,259.31,New York,M,Yellow,Winter,2.4,No,Store Pickup,Yes,Yes,46,Debit Card,Weekly,2023-04-20
1951,67,Male,Jeans,Clothing,88.86,Los Angeles,M,Grey,Spring,1.5,No,Express,Yes,Yes,13,Cash,Bi-Weekly,2023-05-10
2339,68,Male,Shorts,Clothing,196.35,San Diego,XL,Red,Fall,2.8,Yes,Express,Yes,Yes,15,Cash,Monthly,2023-07-04
2180,59,Male,Jeans,Clothing,280.44,Chicago,M,Green,Fall,4.0,No,Standard,Yes,Yes,33,Apple Pay,Annually,2023-08-28
1860,36,Female,Dress,Clothing,179.27,San Antonio,L,Blue,Summer,3.5,No,Standard,Yes,Yes,40,Credit Card,Annually,2023-03-25
1807,67,Male,Sneakers,Shoes,45.21,Philadelphia,M,Yellow,Winter,1.8,Yes,Express,No,No,9,Credit Card,Weekly,2023-12-11
1333,45,Male,Dress,Clothing,250.69,Chicago,XL,Grey,Spring,1.7,No,Express,Yes,Yes,20,Apple Pay,Bi-Weekly,2023-07-08
2099,40,Male,Sunglasses,Accessories,80.77,Houston,XL,Green,Fall,3.6,No,Next Day,No,No,15,Cash,Annually,2023-08-04
2458,37,Female,Backpack,Accessories,141.75,San Jose,XL,Red,Fall,3.7,No,Store Pickup,Yes,Yes,1,Apple Pay,Monthly,2023-01-02
2003,53,Male,Sunglasses,Accessories,298.04,Houston,M,Grey,Winter,3.7,No,Express,No,No,8,PayPal,Weekly,2023-10-26
1134,48,Female,Dress,Clothing,139.37,New York,M,Yellow,Summer,3.4,Yes,Store Pickup,No,No,6,Debit Card,Weekly,2023-10-31
1969,28,Male,Sunglasses,Accessories,216.54,Houston,M,White,Winter,1.3,Yes,Store Pickup,Yes,Yes,29,Cash,Every 3 Months,2023-01-26
2009,44,Male,Sunglasses,Accessories,221.42,New York,M,White,Fall,1.6,Yes,Next Day,No,No,44,PayPal,Weekly,2023-03-31
2335,59,Male,T-shirt,Clothing,40.16,Houston,S,Black,Winter,3.5,Yes,Standard,No,No,21,Credit Card,Monthly,2023-08-15
2079,19,Female,Jeans,Clothing,184.78,San Antonio,L,Green,Winter,4.5,No,Store Pickup,No,No,28,Apple Pay,Monthly,2023-01-11
1911,64,Female,Sweater,Clothing,141.22,New York,L,Blue,Spring,2.1,No,Standard,No,No,18,Credit Card,Monthly,2023-07-18
1777,39,Male,Backpack,Accessories,22.15,Los Angeles,XL,Grey,Fall,3.5,No,Store Pickup,Yes,Yes,20,Credit Card,Every 3 Months,2023-03-29
1413,40,Male,Sweater,Clothing,137.82,Los Angeles,L,Brown,Spring,1.4,No,Store Pickup,Yes,Yes,12,PayPal,Bi-Weekly,2023-03-25
2441,65,Male,Sneakers,Shoes,255.05,Philadelphia,M,Blue,Fall,1.1,No,Next Day,No,No,8,Cash,Weekly,2023-08-20
2278,42,Male,Sweater,Clothing,191.77,San Jose,S,Red,Fall,5.0,No,Next Day,Yes,Yes,12,Apple Pay,Every 3 Months,2023-01-15
2480,38,Male,Belt,Accessories,260.18,Houston,M,Brown,Summer,3.4,Yes,Store Pickup,Yes,Yes,49,Apple Pay,Monthly,2023-09-18
2399,42,Female,Backpack,Accessories,257.66,Phoenix,S,Black,Summer,2.9,No,Standard,No,No,42,Cash,Bi-Weekly,2023-11-07
1102,65,Female,Sneakers,Shoes,267.81,San Jose,M,White,Summer,3.4,No,Next Day,No,No,47,Credit Card,Monthly,2023-04-04
2369,65,Male,Belt,Accessories,109.7,Chicago,S,Yellow,Fall,4.3,No,Express,No,No,5,Apple Pay,Monthly,2023-05-26
1062,39,Female,Dress,Clothing,68.42,San Antonio,XL,Blue,Fall,1.6,No,Next Day,No,No,41,Credit Card,Annually,2023-02-21
2446,36,Male,Dress,Clothing,152.01,Chicago,M,Green,Summer,1.3,No,Express,Yes,Yes,17,Cash,Monthly,2023-02-19
1174,61,Male,Belt,Accessories,295.01,Dallas,XL,Yellow,Winter,1.7,Yes,Store Pickup,Yes,Yes,7,PayPal,Bi-Weekly,2023-03-25
1794,64,Male,Sweater,Clothing,92.07,Los Angeles,M,Red,Winter,4.9,Yes,Standard,Yes,Yes,45,Cash,Every 3 Months,2023-05-22
1438,20,Male,Sweater,Clothing,202.09,San Diego,S,Brown,Winter,3.6,No,Next Day,Yes,Yes,15,Apple Pay,Weekly,2023-07-23
1003,40,Male,Sunglasses,Accessories,253.54,Phoenix,M,White,Winter,3.9,Yes,Next Day,Yes,Yes,6,Credit Card,Weekly,2023-02-19
2298,59,Male,Sweater,Clothing,117.53,Dallas,M,Blue,Spring,4.4,No,Express,No,No,48,Cash,Every 3 Months,2023-03-06
1897,60,Male,T-shirt,Clothing,198.76,Los Angeles,M,Blue,Summer,1.8,No,Standard,Yes,Yes,34,Credit Card,Weekly,2023-04-09
1898,46,Female,Sneakers,Shoes,167.27,Houston,L,Grey,Summer,4.5,No,Standard,No,No,19,Apple Pay,Weekly,2023-08-04
1333,47,Male,Shorts,Clothing,194.58,San Diego,S,Blue,Winter,2.8,No,Next Day,Yes,Yes,16,Credit Card,Bi-Weekly,2023-01-24
1363,27,Female,Sweater,Clothing,280.34,New York,M,Green,Fall,2.0,No,Store Pickup,No,No,26,Debit Card,Annually,2023-01-18
1531,35,Male,Backpack,Accessories,47.72,Houston,XL,Yellow,Summer,4.9,No,Standard,No,No,5,Apple Pay,Every 3 Months,2023-08-23
1966,64,Male,Hat,Accessories,176.48,New York,M,Black,Winter,2.2,No,Next Day,No,No,3,PayPal,Bi-Weekly,2023-05-13
2236,63,Male,Hat,Accessories,79.52,Houston,XL,White,Summer,3.0,No,Express,Yes,Yes,4,Cash,Every 3 Months,2023-07-29
1794,63,Female,Hat,Accessories,74.47,San Antonio,XL,Black,Spring,4.6,No,Next Day,No,No,47,Cash,Bi-Weekly,2023-04-30
1066,34,Male,Sneakers,Shoes,120.41,San Diego,L,Green,Fall,2.7,No,Next Day,No,No,43,Credit Card,Every 3 Months,2023-01-26
2034,46,Male,Jacket,Outerwear,194.85,New York,XL,Green,Summer,2.8,No,Next Day,Yes,Yes,41,Cash,Annually,2023-06-19
1408,40,Female,T-shirt,Clothing,92.99,San Antonio,S,Brown,Winter,4.4,Yes,Express,No,No,25,PayPal,Annually,2023-03-30
1671,32,Male,Belt,Accessories,226.44,San Jose,M,Grey,Winter,4.5,No,Standard,No,No,13,Apple Pay,Bi-Weekly,2023-08-29
2013,23,Male,Shorts,Clothing,78.15,Houston,XL,Red,Spring,4.4,Yes,Express,No,No,42,Credit Card,Monthly,2023-08-18
1245,26,Female,Belt,Accessories,277.33,Philadelphia,XL,White,Winter,2.5,Yes,Standard,Yes,Yes,18,Debit Card,Every 3 Months,2023-01-13
2394,24,Female,Scarf,Accessories,268.47,Phoenix,L,Yellow,Summer,4.1,Yes,Express,No,No,43,Debit Card,Annually,2023-09-25
2208,66,Male,Jeans,Clothing,115.75,Chicago,M,Red,Spring,1.9,No,Standard,Yes,Yes,49,Cash,Weekly,2023-07-17
